,FIELD_STRU,SITE_NO,LONG_DEG_R,NEG_LAT_DE,LITHO_NO,STRAT_NAME,STRAT_UNIT,STRUCT_TYP,STRUCTURE_,COMMENTS,CONFIDENCE,LOCAL_GENE,OROGENY_CO,REGIONAL_G,AZIMUTH_OR,AZIMUTH_TR,AZIMUTH_AC,AZIMUTH_ME,INCLINATIO,INCLINAT_1,DATE_OF_FI,YOUNGING,FAULT_SEPA,FAULT_DISP,PLOT_PREFE,MIN_PLOT_S,HADE_VECTO,HADE_VEC_1,PLANE_OF_H,AFFECT_EL_,AFFECT_E_1,AFFECT_E_2,AFFECT_E_3,AFFECT_E_4,EASTING,NORTHING,X,Y,POINT_X,POINT_Y,DIP,DIP_DIR,geometry
5,28,185924,139.1054652,-33.5995655,26,Grampus Quartzite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,276,284,2,M,73,2,19/10/1994,,,,2,10,,,,,,0,,,324215.0,6280633.33307,324214.636869,6280633.33307,324214.636869,6280633.33307,73.0,284.0,POINT (324214.6368685498 6280633.333072066)
9,35,192452,139.1044652,-33.5960175,31,Pepuarta Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,264,272,2,M,56,2,19/10/1994,,,,0,10,,,,,,0,,,324115.0,6281025.08758,324114.632549,6281025.08758,324114.632549,6281025.08758,56.0,272.0,POINT (324114.63254924817 6281025.08757512)
10,37,192453,139.1041342,-33.5957435,32,Grampus Quartzite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,244,252,2,M,65,2,19/10/1994,,,,0,50,,,,,,0,,,324083.0,6281054.91008,324083.358375,6281054.91008,324083.358375,6281054.91008,65.0,252.0,POINT (324083.35837514524 6281054.910080054)
11,38,192454,139.1072022,-33.5638965,34,Pepuarta Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,92,100,2,M,55,2,27/10/1994,,,,1,50,,,,,,0,,,324304.0,6284591.766,324303.523788,6284591.766,324303.523788,6284591.766,55.0,100.0,POINT (324303.52378846786 6284591.765996788)
12,40,192454,139.1072022,-33.5638965,33,Pepuarta Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,92,100,2,M,55,2,27/10/1994,,,,2,10,,,,,,0,,,324304.0,6284591.766,324303.523788,6284591.766,324303.523788,6284591.766,55.0,100.0,POINT (324303.52378846786 6284591.765996788)
14,45,194731,139.1094082,-33.5641155,41,Pepuarta Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,DEL,0,260,268,2,M,54,2,27/10/1994,,,,0,10,,,,,,0,,,324509.0,6284571.21993,324508.765188,6284571.21993,324508.765188,6284571.21993,54.0,268.0,POINT (324508.76518754713 6284571.219929278)
15,76,196051,139.1355732,-33.5659075,73,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,DEL,0,250,258,2,M,82,2,27/10/1995,,,,0,10,,,,,,0,,,326941.0,6284416.5222,326941.405138,6284416.5222,326941.405138,6284416.5222,82.0,258.0,POINT (326941.40513787034 6284416.5221968405)
16,101,196100,139.1443182,-33.5665955,104,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,237,245,2,M,49,20,27/10/1994,,,,0,10,,,,,,0,,,327755.0,6284354.8048,327754.605897,6284354.8048,327754.605897,6284354.8048,49.0,245.0,POINT (327754.60589671007 6284354.804804206)
17,102,196100,139.1443182,-33.5665955,105,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,238,246,2,M,65,2,27/10/1994,,,,0,10,,,,,,0,,,327755.0,6284354.8048,327754.605897,6284354.8048,327754.605897,6284354.8048,65.0,246.0,POINT (327754.60589671007 6284354.804804206)
31,187,196418,139.1044192,-33.5752875,188,Grampus Quartzite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,DEL,0,76,84,2,M,80,2,2/11/1994,-,,,0,50,,,,,,0,,,324068.0,6283323.84802,324068.275759,6283323.84802,324068.275759,6283323.84802,80.0,84.0,POINT (324068.2757587226 6283323.848016125)
36,239,198243,139.1439082,-33.6137795,255,Wilyerpa Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,238,246,2,M,74,2,2/11/1994,,,,0,50,,,,,,0,,,327810.0,6279121.72947,327810.354705,6279121.72947,327810.354705,6279121.72947,74.0,246.0,POINT (327810.3547052764 6279121.729468761)
37,258,198595,139.1524212,-33.6135695,273,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,244,252,2,M,74,2,2/11/1994,,,,0,50,,,,,,0,,,328600.0,6279159.15457,328599.79694,6279159.15457,328599.79694,6279159.15457,74.0,252.0,POINT (328599.7969396381 6279159.154569696)
38,260,198596,139.1520982,-33.6129735,275,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,244,252,2,M,46,2,2/11/1994,+,,,0,10,,,,,,0,,,328569.0,6279224.71191,328568.647678,6279224.71191,328568.647678,6279224.71191,46.0,252.0,POINT (328568.6476784547 6279224.711914849)
39,261,198597,139.1431522,-33.6138115,227,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,250,258,2,M,63,2,2/11/1994,,,,0,10,,,,,,0,,,327740.0,6279116.92224,327740.274692,6279116.92224,327740.274692,6279116.92224,63.0,258.0,POINT (327740.2746916015 6279116.922240505)
40,262,198599,139.1421092,-33.6137715,279,Tindelpina Shale Member,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,260,268,2,M,87,2,2/11/1994,,,,0,10,,,,,,0,,,327643.0,6279119.62071,327643.422726,6279119.62071,327643.422726,6279119.62071,87.0,268.0,POINT (327643.4227255703 6279119.62071028)
42,288,199315,139.1378422,-33.6137295,294,Tapley Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,250,258,2,M,83,2,2/11/1994,,,,0,50,,,,,,0,,,327247.0,6279117.16072,327247.434881,6279117.16072,327247.434881,6279117.16072,83.0,258.0,POINT (327247.43488123006 6279117.160720082)
45,291,199319,139.1200642,-33.5932475,299,Pepuarta Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,DEL,0,72,80,2,M,88,2,2/11/1994,,,,0,50,,,,,,0,,,325557.0,6281358.66506,325556.678039,6281358.66506,325556.678039,6281358.66506,88.0,80.0,POINT (325556.67803866684 6281358.66505917)
48,299,199412,139.1388952,-33.5973445,309,Wilyerpa Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,DEL,0,248,256,2,M,82,2,16/11/1994,,,,0,50,,,,,,0,,,327312.0,6280935.91284,327312.457489,6280935.91284,327312.457489,6280935.91284,82.0,256.0,POINT (327312.457489239 6280935.912838722)
50,302,199416,139.1418672,-33.5972465,314,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,DEL,0,262,270,2,M,78,2,16/11/1994,,,,0,50,,,,,,0,,,327588.0,6280951.73555,327588.065095,6280951.73555,327588.065095,6280951.73555,78.0,270.0,POINT (327588.0650945058 6280951.735547919)
51,305,199419,139.1392072,-33.5874095,319,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,248,256,2,M,78,2,16/11/1994,,,,0,50,,,,,,0,,,327322.0,6282038.16067,327321.607381,6282038.16067,327321.607381,6282038.16067,78.0,256.0,POINT (327321.60738057166 6282038.1606668215)
53,309,199423,139.1386682,-33.5873015,324,Warcowie Dolomite Member,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,242,250,2,M,75,2,16/11/1994,,,,0,10,,,,,,0,,,327271.0,6282049.23793,327271.366908,6282049.23793,327271.366908,6282049.23793,75.0,250.0,POINT (327271.3669079761 6282049.237933191)
54,312,199425,139.1374112,-33.5879055,328,Wilyerpa Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,72,80,2,M,90,2,16/11/1994,,,,0,10,,,,,,0,,,327156.0,6281980.16016,327155.908233,6281980.16016,327155.908233,6281980.16016,90.0,80.0,POINT (327155.90823319234 6281980.160161626)
55,314,199426,139.1372172,-33.5882735,330,Wilyerpa Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,70,78,2,M,90,2,16/11/1994,,,,0,250,,,,,,0,,,327139.0,6281939.02741,327138.637237,6281939.02741,327138.637237,6281939.02741,90.0,78.0,POINT (327138.6372367295 6281939.027407845)
56,316,199427,139.1366732,-33.5889465,331,Wilyerpa Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,77,85,2,M,84,2,16/11/1994,,,,0,10,,,,,,0,,,327090.0,6281863.4875,327089.491718,6281863.4875,327089.491718,6281863.4875,84.0,85.0,POINT (327089.49171813554 6281863.487503843)
57,318,199428,139.1362042,-33.5892975,332,Tindelpina Shale Member,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,258,266,2,M,80,2,16/11/1994,,,,0,50,,,,,,0,,,327047.0,6281823.78035,327046.664815,6281823.78035,327046.664815,6281823.78035,80.0,266.0,POINT (327046.66481521004 6281823.780350862)
58,319,199429,139.1350142,-33.5900205,334,Tapley Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,247,255,2,M,78,2,16/11/1994,,,,0,50,,,,,,0,,,326938.0,6281741.61536,326937.666321,6281741.61536,326937.666321,6281741.61536,78.0,255.0,POINT (326937.6663210134 6281741.61536362)
59,320,199430,139.1337012,-33.5904495,335,Tapley Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,260,268,2,M,90,2,16/11/1994,,,,0,50,,,,,,0,,,326817.0,6281691.846,326816.666587,6281691.846,326816.666587,6281691.846,90.0,268.0,POINT (326816.66658721236 6281691.8459997345)
60,321,199431,139.1329262,-33.5910505,336,Tapley Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,247,255,2,M,85,2,16/11/1994,,,,0,10,,,,,,0,,,326746.0,6281623.90199,326745.942451,6281623.90199,326745.942451,6281623.90199,85.0,255.0,POINT (326745.94245113863 6281623.901985437)
63,326,199435,139.1211232,-33.5878065,341,Waukaringa Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,250,258,2,M,89,2,16/11/1994,,,,0,50,,,,,,0,,,325644.0,6281963.82339,325644.007965,6281963.82339,325644.007965,6281963.82339,89.0,258.0,POINT (325644.0079646846 6281963.823393141)
66,334,199445,139.1216572,-33.5858755,359,Waukaringa Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,63,71,2,M,88,2,24/11/1994,,,,0,50,,,,,,0,,,325690.0,6282178.85877,325689.684118,6282178.85877,325689.684118,6282178.85877,88.0,71.0,POINT (325689.6841182395 6282178.858774462)
74,366,199481,139.2484492,-33.6228005,397,Tarcowie Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,,0,80,88,5,M,80,5,1/11/1994,,,,0,50,,,,,,0,,,337527.0,6278290.48272,337526.774426,6278290.48272,337526.774426,6278290.48272,80.0,88.0,POINT (337526.77442635107 6278290.48271835)
75,367,199482,139.2493282,-33.6228685,400,Cox Sandstone Member,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,DEL,0,84,92,2,M,90,2,1/11/1994,,,,0,50,,,,,,0,,,337608.0,6278284.32255,337608.447667,6278284.32255,337608.447667,6278284.32255,90.0,92.0,POINT (337608.44766688993 6278284.32255332)
