EASTING,NORTHING,DIP,DIP_DIR
200642,6359727,10,92
200642,6372727,10,160
208642,6375727,37,108
208642,6406727,25,190
208642,6408727,44,190
210642,6421727,29,95
211642,6401727,47,106
214642,6414727,0,0
214642,6421727,0,0
215642,6368727,5,248
215642,6369727,30,91
215642,6370727,34,88
215642,6371727,34,97
215642,6372727,22,110
215642,6373727,13,132
215642,6374727,26,148
215642,6375727,26,138
215642,6376727,49,153
215642,6411727,34,280
215642,6413727,19,275
215642,6417727,0,0
215642,6449727,39,120
216642,6367727,32,112
216642,6368727,27,78
216642,6369727,17,277
216642,6370727,47,289
216642,6371727,36,260
216642,6372727,10,247
216642,6373727,56,268
216642,6374727,14,73
216642,6375727,6,70
216642,6376727,27,205
216642,6377727,30,255
216642,6378727,25,188
216642,6379727,11,134
216642,6395727,37,294
216642,6398727,22,234
216642,6399727,20,282
216642,6404727,29,270
216642,6411727,80,95
216642,6413727,70,105
216642,6445727,29,65
216642,6447727,70,115
217642,6366727,12,330
217642,6367727,10,148
217642,6368727,80,109
217642,6369727,28,296
217642,6371727,28,272
217642,6373727,39,257
217642,6374727,60,256
217642,6375727,55,268
217642,6376727,54,262
217642,6377727,50,265
217642,6378727,13,188
217642,6379727,44,265
217642,6390727,82,268
217642,6391727,80,288
217642,6392727,19,108
217642,6393727,40,291
217642,6394727,51,111
217642,6396727,64,281
217642,6404727,49,100
217642,6409727,60,275
217642,6414727,85,120
217642,6426727,9,275
217642,6436727,90,90
217642,6437727,75,100
217642,6454727,7,65
218642,6366727,9,280
218642,6367727,18,252
218642,6368727,7,282
218642,6370727,5,272
218642,6371727,34,276
218642,6373727,65,265
218642,6377727,41,263
218642,6378727,31,256
218642,6379727,50,264
218642,6382727,49,300
218642,6389727,5,199
218642,6390727,70,250
218642,6391727,29,265
218642,6392727,59,277
218642,6393727,49,290
218642,6394727,9,310
218642,6407727,75,90
218642,6417727,19,255
218642,6427727,14,325
218642,6429727,14,20
218642,6437727,75,110
219642,6370727,14,90
219642,6380727,19,95
219642,6384727,14,265
219642,6387727,29,204
219642,6398727,15,15
219642,6410727,80,100
219642,6425727,69,290
219642,6434727,25,5
219642,6443727,57,113
219642,6449727,75,120
219642,6454727,85,110
220642,6370727,29,80
220642,6380727,5,95
220642,6387727,5,90
220642,6389727,5,90
220642,6396727,9,270
220642,6397727,39,335
220642,6424727,80,105
220642,6428727,90,95
220642,6429727,69,10
220642,6437727,39,295
220642,6443727,75,115
220642,6448727,54,125
221642,6370727,40,95
221642,6390727,25,90
221642,6395727,14,65
221642,6398727,29,350
221642,6423727,65,285
221642,6429727,70,105
221642,6436727,49,295
221642,6445727,69,120
222642,6332727,5,40
222642,6333727,9,6
222642,6374727,34,115
222642,6390727,5,90
222642,6400727,25,290
222642,6404727,39,275
222642,6409727,54,270
222642,6427727,65,285
222642,6436727,75,95
223642,6374727,25,110
223642,6387727,5,115
223642,6390727,14,80
223642,6416727,60,275
223642,6422727,60,280
223642,6434727,69,290
223642,6439727,44,105
223642,6440727,59,305
223642,6444727,80,120
224642,6363727,52,355
224642,6364727,25,330
224642,6391727,29,120
224642,6396727,9,95
224642,6404727,39,275
224642,6408727,54,275
224642,6428727,70,280
224642,6441727,80,110
224642,6443727,55,130
224642,6453727,0,0
224642,6467727,34,100
225642,6248727,3,57
225642,6351727,39,260
225642,6356727,34,285
225642,6377727,9,175
225642,6388727,40,95
225642,6396727,2,115
225642,6398727,5,265
225642,6399727,29,285
225642,6423727,70,300
225642,6456727,29,335
225642,6461727,69,112
225642,6462727,44,115
225642,6466727,49,100
225642,6467727,34,80
226642,6351727,34,275
226642,6369727,9,265
226642,6375727,32,268
226642,6377727,19,190
226642,6395727,5,190
226642,6437727,90,110
226642,6441727,60,295
226642,6451727,29,160
226642,6454727,0,0
227642,6225727,29,105
227642,6343727,80,268
227642,6345727,72,47
227642,6346727,60,260
227642,6349727,19,100
227642,6350727,44,265
227642,6355727,14,75
227642,6359727,9,355
227642,6369727,45,245
227642,6393727,9,275
227642,6399727,29,265
227642,6400727,9,255
227642,6402727,5,150
227642,6403727,39,125
227642,6404727,19,265
227642,6408727,19,260
227642,6413727,60,75
227642,6418727,29,275
227642,6445727,65,290
227642,6450727,60,155
228642,6342727,83,267
228642,6343727,53,284
228642,6355727,34,80
228642,6356727,25,55
228642,6357727,25,40
228642,6394727,19,239
228642,6399727,39,260
228642,6404727,39,130
228642,6406727,19,275
228642,6415727,14,285
228642,6445727,69,295
229642,6340727,57,60
229642,6341727,78,99
229642,6342727,36,304
229642,6343727,30,325
229642,6344727,31,358
229642,6352727,44,60
229642,6370727,54,260
229642,6372727,44,270
229642,6378727,35,290
229642,6448727,44,300
230642,6233727,17,100
230642,6291727,19,93
230642,6293727,19,80
230642,6294727,27,88
230642,6295727,17,78
230642,6300727,10,96
230642,6336727,90,83
230642,6339727,25,355
230642,6340727,17,349
230642,6342727,14,1
230642,6343727,25,40
230642,6349727,29,0
230642,6352727,49,45
230642,6363727,29,260
230642,6364727,44,290
230642,6372727,60,275
230642,6375727,60,275
231642,6230727,29,115
231642,6233727,27,104
231642,6234727,16,95
231642,6288727,19,81
231642,6292727,13,94
231642,6293727,23,96
231642,6294727,8,108
231642,6295727,25,92
231642,6308727,25,89
231642,6330727,85,60
231642,6331727,43,100
231642,6332727,16,7
231642,6334727,41,285
231642,6335727,14,82
231642,6336727,10,328
231642,6337727,25,190
231642,6338727,68,298
231642,6340727,24,5
231642,6343727,25,49
231642,6344727,35,55
231642,6347727,39,65
231642,6349727,25,65
231642,6357727,44,95
231642,6362727,14,280
231642,6364727,35,265
231642,6370727,39,250
231642,6371727,39,255
231642,6372727,44,275
231642,6375727,65,280
231642,6376727,49,275
231642,6454727,34,150
231642,6457727,19,95
232642,6234727,37,116
232642,6236727,35,108
232642,6242727,22,97
232642,6257727,11,91
232642,6277727,8,66
232642,6282727,11,69
232642,6286727,32,78
232642,6290727,14,74
232642,6295727,6,84
232642,6298727,13,50
232642,6308727,4,169
232642,6327727,62,245
232642,6328727,46,239
232642,6329727,45,246
232642,6330727,83,276
232642,6331727,49,260
232642,6335727,30,70
232642,6336727,28,39
232642,6337727,41,40
232642,6339727,44,57
232642,6342727,49,27
232642,6344727,39,58
232642,6348727,70,30
232642,6351727,29,15
232642,6352727,29,95
232642,6357727,35,95
232642,6359727,39,120
232642,6360727,49,112
232642,6363727,29,285
232642,6372727,35,255
233642,6238727,34,135
233642,6241727,39,88
233642,6244727,34,110
233642,6245727,19,42
