EASTING,NORTHING,DIP,DIP_DIR,count,kappa,beta,REMOVED_INDEX
215642,6369727,21,86,5,1e-06,4.99e-07,28169
215642,6373727,15,125,5,1e-06,0.0,28339
215642,6374727,27,143,10,1e-06,0.0,28336
215642,6375727,24,139,7,1e-06,0.0,28367
216642,6371727,31,251,5,1e-06,4.99e-07,28186
216642,6373727,46,270,3,1e-06,4.99e-07,28458
216642,6377727,23,256,6,1e-06,4.99e-07,28371
216642,6378727,29,171,6,1e-06,0.0,28526
216642,6395727,47,287,18,1e-06,4.99e-07,28201
216642,6398727,21,219,8,1e-06,4.99e-07,28224
216642,6399727,24,284,22,1e-06,4.99e-07,28226
217642,6371727,29,273,13,1e-06,4.99e-07,28323
217642,6373727,34,262,4,1e-06,4.99e-07,28333
217642,6375727,55,266,13,1e-06,0.0,28325
217642,6376727,54,262,26,1e-06,4.99e-07,28372
217642,6377727,50,266,19,1e-06,4.99e-07,28379
217642,6378727,22,85,3,8.066920835123323,0.0,28533
217642,6379727,43,266,8,1e-06,4.99e-07,28247
217642,6392727,16,110,38,1e-06,4.99e-07,28215
217642,6393727,45,289,19,1e-06,4.99e-07,28191
217642,6394727,48,112,16,1e-06,4.99e-07,28240
217642,6396727,66,281,21,1e-06,4.99e-07,28207
218642,6367727,13,255,3,1e-06,4.99e-07,28318
218642,6368727,6,286,6,1e-06,4.99e-07,28179
218642,6371727,33,275,16,1e-06,4.99e-07,28187
218642,6378727,30,255,11,1e-06,4.99e-07,28249
229642,6340727,54,46,3,1e-06,0.0,21808
229642,6342727,31,307,6,1e-06,4.99e-07,21771
230642,6343727,27,41,5,1e-06,0.0,21779
231642,6331727,45,105,3,15.588420189289202,0.0,21865
231642,6334727,37,271,3,1e-06,4.99e-07,21857
231642,6344727,36,57,4,1e-06,0.0,21798
232642,6298727,14,39,3,1e-06,0.0,21751
232642,6308727,7,218,5,1e-06,0.0,21719
232642,6331727,49,256,4,1e-06,4.99e-07,21870
233642,6249727,21,96,3,1e-06,4.99e-07,5303
233642,6260727,6,164,4,1e-06,0.0,5404
233642,6279727,12,8,8,1e-06,0.0,5684
233642,6327727,13,201,8,1e-06,0.0,21891
233642,6339727,39,35,3,1e-06,0.0,21822
233642,6342727,52,67,5,1e-06,4.99e-07,21827
233642,6343727,38,356,5,1e-06,4.99e-07,22167
233642,6344727,45,69,6,1e-06,4.99e-07,22170
234642,6241727,34,92,5,1e-06,4.99e-07,5275
234642,6242727,10,82,6,1e-06,4.99e-07,5294
234642,6329727,41,89,3,1e-06,4.99e-07,21881
234642,6341727,17,7,13,1e-06,0.0,22159
234642,6342727,35,49,14,1e-06,0.0,22149
234642,6344727,66,73,3,1e-06,4.99e-07,22168
235642,6259727,5,129,6,1e-06,0.0,5413
235642,6279727,8,70,3,1e-06,4.99e-07,5679
235642,6319727,23,212,6,1e-06,4.99e-07,21922
235642,6320727,19,191,6,1e-06,4.99e-07,21919
235642,6323727,37,69,4,1e-06,4.99e-07,21910
