EASTING,NORTHING,DIP,DIP_DIR,count,kappa,beta,n_removed
215642,6369727,30,91,6,1e-06,4.99e-07,0
215642,6373727,13,132,6,1e-06,0.0,0
215642,6374727,26,148,11,1e-06,0.0,0
215642,6375727,26,138,8,1e-06,0.0,0
216642,6371727,36,260,6,1e-06,4.99e-07,0
216642,6373727,56,268,4,1e-06,4.99e-07,0
216642,6377727,30,255,7,1e-06,4.99e-07,0
216642,6378727,25,188,7,1e-06,4.99e-07,0
216642,6395727,37,294,19,1e-06,4.99e-07,0
216642,6398727,22,234,9,1e-06,4.99e-07,0
216642,6399727,20,282,23,1e-06,4.99e-07,0
217642,6371727,28,272,14,1e-06,4.99e-07,0
217642,6373727,39,257,5,1e-06,4.99e-07,0
217642,6375727,55,268,14,1e-06,0.0,0
217642,6376727,54,262,27,1e-06,4.99e-07,0
217642,6377727,50,265,20,1e-06,4.99e-07,0
217642,6378727,13,188,4,1e-06,0.0,0
217642,6379727,44,265,9,1e-06,4.99e-07,0
217642,6392727,19,108,39,1e-06,4.99e-07,0
217642,6393727,40,291,20,1e-06,4.99e-07,0
217642,6394727,51,111,17,1e-06,4.99e-07,0
217642,6396727,64,281,22,1e-06,4.99e-07,0
218642,6367727,18,252,4,1e-06,4.99e-07,0
218642,6368727,7,282,7,1e-06,4.99e-07,0
218642,6371727,34,276,17,1e-06,4.99e-07,0
218642,6378727,31,256,12,1e-06,4.99e-07,0
229642,6340727,57,60,4,1e-06,0.0,0
229642,6342727,36,304,7,1e-06,4.99e-07,0
230642,6343727,25,40,6,1e-06,0.0,0
231642,6331727,43,100,4,1e-06,4.99e-07,0
231642,6334727,41,285,4,1e-06,4.99e-07,0
231642,6344727,35,55,5,1e-06,0.0,0
232642,6298727,13,50,4,1e-06,0.0,0
232642,6308727,4,169,6,1e-06,0.0,0
232642,6331727,49,260,5,1e-06,4.99e-07,0
233642,6249727,23,93,4,1e-06,4.99e-07,0
233642,6260727,9,171,5,1e-06,0.0,0
233642,6279727,12,10,9,1e-06,0.0,0
233642,6327727,17,214,9,1e-06,0.0,0
233642,6339727,41,37,4,1e-06,0.0,0
233642,6342727,51,67,6,1e-06,4.99e-07,0
233642,6343727,35,358,6,1e-06,4.99e-07,0
233642,6344727,45,69,7,1e-06,4.99e-07,0
234642,6241727,33,94,6,1e-06,4.99e-07,0
234642,6242727,10,83,7,1e-06,4.99e-07,0
234642,6329727,45,85,4,1e-06,4.99e-07,0
234642,6341727,19,358,14,1e-06,4.99e-07,0
234642,6342727,35,50,15,1e-06,0.0,0
234642,6344727,68,73,4,1e-06,4.99e-07,0
235642,6259727,5,135,7,1e-06,0.0,0
235642,6279727,8,66,4,1e-06,4.99e-07,0
235642,6319727,23,212,7,1e-06,4.99e-07,0
235642,6320727,19,193,7,1e-06,4.99e-07,0
235642,6323727,33,71,5,1e-06,4.99e-07,0
236642,6247727,25,90,4,1e-06,4.99e-07,0
236642,6253727,11,121,6,1e-06,0.0,0
236642,6255727,9,118,5,1e-06,4.99e-07,0
236642,6312727,23,196,4,1e-06,4.99e-07,0
236642,6313727,20,172,5,1e-06,0.0,0
236642,6315727,20,125,9,1e-06,0.0,0
236642,6318727,26,180,8,1e-06,4.99e-07,0
236642,6323727,37,106,4,1e-06,4.99e-07,0
236642,6335727,44,87,5,1e-06,4.99e-07,0
237642,6252727,40,101,4,1e-06,4.99e-07,0
237642,6313727,21,147,5,1e-06,0.0,0
237642,6316727,11,165,6,1e-06,0.0,0
237642,6317727,6,185,4,1e-06,0.0,0
238642,6271727,16,254,4,1e-06,4.99e-07,0
238642,6273727,27,263,5,1e-06,4.99e-07,0
238642,6277727,22,44,5,1e-06,0.0,0
238642,6319727,21,106,4,1e-06,4.99e-07,0
238642,6321727,58,77,4,1e-06,4.99e-07,0
238642,6323727,29,105,7,1e-06,4.99e-07,0
238642,6327727,2,352,4,1e-06,0.0,0
238642,6330727,17,109,4,1e-06,4.99e-07,0
238642,6331727,12,125,4,1e-06,0.0,0
238642,6338727,28,49,4,1e-06,0.0,0
239642,6263727,6,158,4,1e-06,0.0,0
239642,6314727,19,145,7,1e-06,0.0,0
239642,6327727,19,303,7,1e-06,4.99e-07,0
240642,6313727,22,145,4,1e-06,0.0,0
240642,6316727,32,248,8,1e-06,4.99e-07,0
240642,6319727,63,253,4,1e-06,0.0,0
240642,6323727,63,266,9,1e-06,0.0,0
241642,6288727,10,21,4,1e-06,0.0,0
241642,6307727,37,249,5,1e-06,0.0,0
241642,6308727,17,261,4,1e-06,4.99e-07,0
241642,6313727,26,218,5,1e-06,4.99e-07,0
241642,6314727,51,248,4,1e-06,4.99e-07,0
241642,6316727,15,116,2,6.094351142563642,2.462494984121144,2
242642,6285727,8,155,8,1e-06,0.0,0
242642,6308727,56,275,7,1e-06,4.99e-07,0
242642,6310727,17,269,6,1e-06,4.99e-07,0
242642,6311727,44,258,5,1e-06,4.99e-07,0
242642,6313727,52,254,5,1e-06,4.99e-07,0
242642,6316727,81,71,6,1e-06,0.0,0
242642,6338727,27,354,4,1e-06,4.99e-07,0
242642,6343727,26,51,5,1e-06,0.0,0
243642,6308727,45,260,16,1e-06,4.99e-07,0
243642,6309727,74,255,4,1e-06,0.0,0
243642,6315727,83,72,4,1e-06,0.0,0
243642,6320727,55,245,5,1e-06,4.99e-07,0
243642,6343727,19,357,6,1e-06,0.0,0
243642,6344727,55,258,4,1e-06,4.99e-07,0
244642,6321727,71,276,4,1e-06,0.0,0
244642,6324727,51,1,2,3.076318329501244,0.0,2
244642,6328727,38,271,4,1e-06,0.0,0
244642,6338727,28,329,4,1e-06,4.99e-07,0
244642,6339727,27,346,9,1e-06,4.99e-07,0
244642,6342727,49,317,10,1e-06,4.99e-07,0
244642,6343727,27,332,4,1e-06,4.99e-07,0
245642,6339727,51,62,7,1e-06,0.0,0
246642,6333727,44,60,6,1e-06,0.0,0
247642,6241727,4,66,5,1e-06,4.99e-07,0
247642,6301727,48,106,7,1e-06,4.99e-07,0
247642,6302727,57,231,6,1e-06,4.99e-07,0
247642,6335727,65,71,4,1e-06,4.99e-07,0
248642,6298727,58,78,7,1e-06,4.99e-07,0
249642,6289727,28,81,4,1e-06,4.99e-07,0
249642,6290727,31,89,4,1e-06,4.99e-07,0
249642,6294727,19,43,4,1e-06,0.0,0
250642,6287727,25,119,4,1e-06,4.99e-07,0
250642,6288727,20,11,8,1e-06,4.99e-07,0
251642,6306727,41,74,4,1e-06,4.99e-07,0
252642,6291727,39,75,4,1e-06,4.99e-07,0
252642,6308727,29,77,4,1e-06,4.99e-07,0
253642,6294727,10,358,4,1e-06,4.99e-07,0
253642,6302727,21,300,4,1e-06,4.99e-07,0
253642,6304727,22,318,7,1e-06,4.99e-07,0
253642,6307727,27,320,4,1e-06,4.99e-07,0
253642,6312727,7,200,4,1e-06,0.0,0
254642,6294727,27,305,4,1e-06,0.0,0
254642,6312727,33,263,4,1e-06,0.0,0
255642,6303727,37,289,4,1e-06,4.99e-07,0
255642,6318727,51,272,4,1e-06,4.99e-07,0
255642,6320727,54,278,4,1e-06,4.99e-07,0
256642,6320727,52,272,5,1e-06,4.99e-07,0
257642,6279727,41,88,4,1e-06,4.99e-07,0
257642,6320727,71,100,7,1e-06,4.99e-07,0
258642,6313727,56,271,4,1e-06,4.99e-07,0
258642,6317727,42,272,4,1e-06,4.99e-07,0
259642,6294727,57,290,4,1e-06,4.99e-07,0
260642,6293727,58,73,5,1e-06,4.99e-07,0
260642,6322727,21,165,4,1e-06,0.0,0
261642,6280727,60,70,6,1e-06,4.99e-07,0
261642,6323727,29,270,6,1e-06,4.99e-07,0
261642,6477727,59,191,7,1e-06,4.99e-07,0
262642,6477727,70,201,9,1e-06,4.99e-07,0
262642,6478727,62,218,5,1e-06,4.99e-07,0
263642,6268727,29,85,7,1e-06,4.99e-07,0
263642,6300727,30,271,4,1e-06,4.99e-07,0
263642,6303727,22,234,5,1e-06,4.99e-07,0
263642,6401727,39,277,5,1e-06,0.0,0
263642,6402727,35,294,8,1e-06,0.0,0
264642,6297727,24,90,6,1e-06,4.99e-07,0
264642,6303727,29,109,4,1e-06,4.99e-07,0
264642,6304727,29,117,6,1e-06,4.99e-07,0
264642,6345727,81,104,6,1e-06,0.0,0
264642,6399727,22,114,4,1e-06,4.99e-07,0
264642,6400727,14,292,5,1e-06,0.0,0
264642,6402727,21,291,7,1e-06,0.0,0
264642,6403727,33,303,6,1e-06,4.99e-07,0
265642,6304727,37,115,4,1e-06,4.99e-07,0
265642,6306727,62,100,4,1e-06,4.99e-07,0
265642,6345727,80,98,4,1e-06,4.99e-07,0
265642,6400727,17,130,7,1e-06,0.0,0
265642,6403727,21,292,8,1e-06,4.99e-07,0
265642,6477727,65,312,7,1e-06,4.99e-07,0
266642,6264727,11,102,4,1e-06,4.99e-07,0
266642,6402727,11,149,10,1e-06,0.0,0
266642,6403727,14,243,7,1e-06,4.99e-07,0
266642,6404727,9,208,7,1e-06,4.99e-07,0
266642,6477727,74,297,4,1e-06,0.0,0
267642,6259727,10,327,4,1e-06,4.99e-07,0
267642,6277727,14,240,5,1e-06,4.99e-07,0
267642,6279727,6,3,4,1e-06,0.0,0
267642,6284727,26,47,6,1e-06,0.0,0
267642,6301727,28,278,4,1e-06,4.99e-07,0
267642,6305727,31,109,5,1e-06,4.99e-07,0
267642,6345727,19,75,5,1e-06,4.99e-07,0
267642,6398727,54,129,4,1e-06,0.0,0
267642,6404727,20,77,7,1e-06,0.0,0
267642,6405727,76,28,5,1e-06,0.0,0
268642,6262727,8,11,8,1e-06,0.0,0
268642,6275727,9,169,10,1e-06,0.0,0
268642,6279727,4,322,4,1e-06,4.99e-07,0
268642,6281727,29,310,17,1e-06,4.99e-07,0
268642,6283727,42,293,10,1e-06,0.0,0
268642,6287727,72,283,12,1e-06,0.0,0
268642,6288727,67,284,5,1e-06,0.0,0
268642,6298727,61,283,6,1e-06,0.0,0
268642,6300727,64,275,4,1e-06,4.99e-07,0
268642,6312727,17,248,4,1e-06,4.99e-07,0
269642,6250727,9,250,10,1e-06,0.0,0
269642,6251727,22,253,9,1e-06,0.0,0
269642,6259727,9,275,15,1e-06,4.99e-07,0
269642,6260727,17,325,14,1e-06,0.0,0
269642,6261727,21,323,15,1e-06,4.99e-07,0
269642,6262727,21,343,6,1e-06,4.99e-07,0
269642,6270727,57,264,8,1e-06,4.99e-07,0
269642,6275727,21,261,6,1e-06,4.99e-07,0
269642,6276727,42,290,6,1e-06,4.99e-07,0
269642,6281727,32,277,21,1e-06,4.99e-07,0
269642,6283727,50,285,17,1e-06,0.0,0
269642,6284727,53,274,5,1e-06,4.99e-07,0
269642,6285727,61,277,9,1e-06,4.99e-07,0
269642,6286727,68,276,31,1e-06,0.0,0
269642,6288727,59,268,14,1e-06,4.99e-07,0
269642,6290727,70,264,5,1e-06,0.0,0
269642,6296727,73,277,6,1e-06,0.0,0
269642,6297727,64,276,7,1e-06,0.0,0
269642,6401727,56,157,5,1e-06,0.0,0
270642,6252727,34,244,11,1e-06,0.0,0
270642,6256727,29,246,4,1e-06,0.0,0
270642,6258727,13,284,25,1e-06,4.99e-07,0
270642,6259727,17,356,23,1e-06,0.0,0
270642,6260727,22,330,15,1e-06,4.99e-07,0
270642,6261727,24,314,20,1e-06,4.99e-07,0
270642,6262727,48,290,7,1e-06,4.99e-07,0
270642,6263727,34,284,14,1e-06,4.99e-07,0
270642,6265727,43,278,7,1e-06,4.99e-07,0
270642,6268727,55,269,7,1e-06,4.99e-07,0
270642,6270727,48,261,20,1e-06,4.99e-07,0
270642,6273727,46,280,8,1e-06,4.99e-07,0
270642,6274727,33,270,4,1e-06,4.99e-07,0
270642,6275727,27,272,5,1e-06,4.99e-07,0
270642,6276727,30,292,5,1e-06,0.0,0
270642,6279727,22,287,5,1e-06,0.0,0
270642,6281727,22,286,5,1e-06,0.0,0
270642,6282727,22,254,7,1e-06,4.99e-07,0
270642,6284727,44,259,8,1e-06,0.0,0
