EASTING,NORTHING,DIP,DIP_DIR,count,kappa,beta
200642,6359727,10,92,1,1e-06,0.0
200642,6372727,10,160,2,1e-06,4.99e-07
208642,6375727,37,108,1,1e-06,0.0
208642,6406727,25,190,1,1e-06,0.0
208642,6408727,44,190,1,1e-06,0.0
210642,6421727,29,95,2,1e-06,4.99e-07
211642,6401727,47,106,2,1e-06,4.99e-07
214642,6414727,0,0,1,inf,0.0
214642,6421727,0,0,1,inf,0.0
215642,6368727,5,248,1,1e-06,4.99e-07
215642,6369727,30,91,6,1e-06,4.99e-07
215642,6370727,34,88,1,1e-06,0.0
215642,6371727,34,97,2,1e-06,4.99e-07
215642,6372727,22,110,3,1e-06,4.99e-07
215642,6373727,13,132,6,1e-06,0.0
215642,6374727,26,148,11,1e-06,0.0
215642,6375727,26,138,8,1e-06,0.0
215642,6376727,49,153,2,1e-06,0.0
215642,6411727,34,280,1,1e-06,4.99e-07
215642,6413727,19,275,1,1e-06,4.99e-07
215642,6417727,0,0,1,inf,0.0
215642,6449727,39,120,1,1e-06,4.99e-07
216642,6367727,32,112,3,1e-06,4.99e-07
216642,6368727,27,78,2,1e-06,4.99e-07
216642,6369727,17,277,2,1e-06,4.99e-07
216642,6370727,47,289,2,1e-06,0.0
216642,6371727,36,260,6,1e-06,4.99e-07
216642,6372727,10,247,2,1e-06,4.99e-07
216642,6373727,56,268,4,1e-06,4.99e-07
216642,6374727,14,73,1,1e-06,0.0
216642,6375727,6,70,2,1e-06,4.99e-07
216642,6376727,27,205,3,1e-06,4.99e-07
216642,6377727,30,255,7,1e-06,4.99e-07
216642,6378727,25,188,7,1e-06,4.99e-07
216642,6379727,11,134,3,1e-06,0.0
216642,6395727,37,294,19,1e-06,4.99e-07
216642,6398727,22,234,9,1e-06,4.99e-07
216642,6399727,20,282,23,1e-06,4.99e-07
216642,6404727,29,270,1,inf,0.0
216642,6411727,80,95,1,1e-06,0.0
216642,6413727,70,105,1,1e-06,0.0
216642,6445727,29,65,1,1e-06,0.0
