,SITEID,FEATURE,TYPE,STRUCTYPEI,STRIKE,DIP,DLAT,DLONG,EASTING,NORTHING,ZONE_,DIP_DIR,geometry
0,CXPNIN000883,"Bedding, showing strike and dip",inclined,BEIN,150,85.0,-29.11085,117.09885,509616.0,6779730.0,50,60.0,POINT (509616 6779730)
5,KPWCUE000072,"Bedding, showing strike and dip",inclined,BEIN,220,80.0,-27.687,117.85085,583899.0,6937182.0,50,130.0,POINT (583899 6937182)
10,IXZBDJ000914,"Bedding, showing strike and dip",inclined,BEIN,130,80.0,-28.74728,116.29944,431600.0,6819810.0,50,40.0,POINT (431600 6819810)
15,TJISIN140123,"Bedding, showing strike and dip",vertical,BEVE,318,90.0,-29.44257,117.13999,513575.0,6742970.0,50,228.0,POINT (513575 6742970)
20,SFCCGY000010,"Bedding, showing strike and dip",inclined,BEIN,342,85.0,-28.37822,116.85361,485657.0,6860893.0,50,252.0,POINT (485657 6860893)
25,SFCTHU000177,"Bedding, showing strike and dip",inclined,BEIN,150,65.0,-28.93283,117.03304,503222.0,6799457.0,50,60.0,POINT (503222 6799457)
30,SFCTHU000374,"Bedding, showing strike and dip",inclined,BEIN,260,40.0,-28.91312,116.96926,497001.0,6801640.0,50,170.0,POINT (497001 6801640)
35,AHHCUE002623,"Bedding, showing strike and dip",inclined,BEIN,20,70.0,-27.5604,118.02689,601379.0,6951071.0,50,290.0,POINT (601379 6951071)
40,SFCCGM000558,"Bedding, showing strike and dip",inclined,BEIN,135,83.0,-28.49603,116.82019,482404.0,6847832.0,50,45.0,POINT (482404 6847832)
45,SFCTHU000164,"Bedding, showing strike and dip",vertical,BEVE,340,90.0,-28.97008,117.02491,502428.0,6795331.0,50,250.0,POINT (502428 6795331)
50,TJIWIN000291,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,80,40.0,-27.86091,118.49943,647626.0,6917300.0,50,350.0,POINT (647626 6917300)
55,TJISIN140100,"Bedding, showing strike and dip",inclined,BEIN,355,72.0,-29.43021,117.14058,513638.0,6744341.0,50,265.0,POINT (513638 6744341)
60,TJISIN120669,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,235,40.0,-29.12565,117.25706,525010.0,6778069.0,50,145.0,POINT (525010 6778069)
65,SFCCGM000670,"Bedding, showing strike and dip",vertical,BEVE,310,90.0,-28.48882,116.81374,481769.0,6848631.0,50,220.0,POINT (481769 6848631)
70,TJIYAL140044,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,158,58.0,-28.21503,116.78556,478956.0,6878960.0,50,68.0,POINT (478956 6878960)
75,TJISIN120352,"Bedding, showing strike and dip",inclined,BEIN,67,72.0,-29.083207,117.218563,521273.0,6782774.0,50,337.0,POINT (521273 6782774)
80,TJISIN121024,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,320,68.0,-29.07256,117.35742,534788.0,6783922.0,50,230.0,POINT (534788 6783922)
85,TJISIN170005,"Bedding, showing strike and dip",inclined,BEIN,132,44.0,-29.447968,117.331624,532160.0,6742336.0,50,42.0,POINT (532160 6742336)
90,SFCTHU000136,"Bedding, showing strike and dip",inclined,BEIN,320,70.0,-28.95792,117.03882,503785.0,6796676.0,50,230.0,POINT (503785 6796676)
95,TJISIN120547,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,349,66.0,-29.14212,117.03228,503138.0,6776268.0,50,259.0,POINT (503138 6776268)
100,TJIWIN100024,"Bedding, showing strike and dip",vertical,BEVE,18,90.0,-28.18187,118.40481,637902.0,6881855.0,50,288.0,POINT (637902 6881855)
105,TJIYAL140075,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,22,68.0,-28.25001,116.74286,474776.0,6875073.0,50,292.0,POINT (474776 6875073)
110,AHHMGI002902,"Bedding, showing strike and dip",inclined,BEIN,210,70.0,-29.52177,117.23531,522804.0,6734182.0,50,120.0,POINT (522804 6734182)
115,KPWCUE000436,"Bedding, showing strike and dip",inclined,BEIN,70,75.0,-27.72226,117.19755,519474.0,6933546.0,50,340.0,POINT (519474 6933546)
120,TJIYAL140041,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,144,46.0,-28.21424,116.77816,478230.0,6879047.0,50,54.0,POINT (478230 6879047)
125,TJISIN120490,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,56,76.0,-29.05153,117.21842,521263.0,6786285.0,50,326.0,POINT (521263 6786285)
130,TJIYAL120015,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,332,69.0,-28.452961,116.788997,479339.0,6852600.0,50,242.0,POINT (479339 6852600)
135,SFCTHU000481,"Bedding, showing strike and dip",inclined,BEIN,185,80.0,-29.05753,116.99412,499426.0,6785638.0,50,95.0,POINT (499426 6785638)
