,SITEID,FEATURE,TYPE,STRUCTYPEI,STRIKE,DIP,DLAT,DLONG,EASTING,NORTHING,ZONE_,DIP_DIR,geometry
1,TJISIN170004,"Bedding, showing strike and dip",inclined,BEIN,65,17.0,-29.400725,117.246068,523876.0,6747594.0,50,335.0,POINT (523874.0204882965 6747590.992695123)
49,AHHMGI002900,"Bedding, showing strike and dip",inclined,BEIN,170,75.0,-29.53034,117.23565,522835.0,6733230.0,50,80.0,POINT (522834.1870116966 6733231.783993185)
55,TJISIN140100,"Bedding, showing strike and dip",inclined,BEIN,355,72.0,-29.43021,117.14058,513638.0,6744341.0,50,265.0,POINT (513635.4075204973 6744341.05223723)
85,TJISIN170005,"Bedding, showing strike and dip",inclined,BEIN,132,44.0,-29.447968,117.331624,532160.0,6742336.0,50,42.0,POINT (532159.9964288827 6742335.951675578)
144,TJISIN170003,"Bedding, showing strike and dip",inclined,BEIN,115,21.0,-29.405905,117.274302,526609.0,6747010.0,50,25.0,POINT (526612.0022470666 6747010.9482524395)
159,TJISIN140101,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,175,76.0,-29.42943,117.1415,513727.0,6744430.0,50,85.0,POINT (513724.74690824305 6744427.367312089)
180,TJISIN140132,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,104,64.0,-29.45397,117.12751,512362.0,6741708.0,50,14.0,POINT (512364.81580468017 6741709.927690988)
239,TJISIN140015,"Bedding, showing strike and dip",inclined,BEIN,140,42.0,-29.47003,117.338,532770.0,6739890.0,50,50.0,POINT (532771.2352502238 6739889.704747764)
252,TJISIN170006,"Bedding, showing strike and dip",inclined,BEIN,130,42.0,-29.481463,117.368578,535733.0,6738611.0,50,40.0,POINT (535731.9760431353 6738613.928833571)
319,TJISIN130236,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,155,80.0,-29.43922,117.21162,520521.0,6743334.0,50,65.0,POINT (520524.05831019557 6743332.346872284)
382,TJISIN100015,"Bedding, showing strike and dip",inclined,BEIN,128,25.0,-29.44773,117.31201,530260.0,6742367.0,50,38.0,POINT (530257.9443925129 6742367.5745595)
460,TJISIN100027,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,162,77.0,-29.46151,117.22316,521639.0,6740863.0,50,72.0,POINT (521638.5436193713 6740860.542601656)
505,KPWNGH004572,"Bedding, showing strike and dip",inclined,BEIN,310,60.0,-29.48085,117.07978,507732.0,6738735.0,50,220.0,POINT (507734.3315898971 6738735.761289513)
