EASTING,NORTHING,DIP,DIP_DIR
363168,6892892,90,312
369168,6887892,83,323
370168,6887892,90,155
373168,6890892,90,320
377168,6892892,90,330
395168,6900892,70,325
431168,6819892,80,40
431168,6823892,66,170
446168,6826892,80,72
446168,6838892,58,261
448168,6838892,75,68
448168,6842892,90,143
448168,6844892,62,245
448168,6857892,69,47
449168,6852892,75,45
449168,6857892,78,212
449168,6858892,61,210
464168,6868892,52,292
467168,6867892,83,108
467168,6868892,77,282
467168,6872892,68,277
468168,6866892,82,322
470168,6859892,69,220
471168,6857892,60,250
471168,6859892,54,242
471168,6860892,75,224
471168,6870892,79,95
471168,6875892,70,92
472168,6855892,59,233
472168,6856892,46,232
472168,6874892,72,260
472168,6877892,64,82
473168,6853892,62,223
473168,6854892,60,230
473168,6881892,72,80
474168,6853892,54,219
474168,6854892,67,210
474168,6855892,52,215
474168,6872892,70,300
475168,6852892,75,215
475168,6853892,57,222
475168,6854892,67,220
475168,6855892,74,210
475168,6874892,73,276
475168,6878892,90,274
475168,6880892,82,100
476168,6850892,73,262
476168,6853892,74,214
476168,6879892,84,142
477168,6848892,75,234
477168,6849892,60,250
477168,6850892,75,250
478168,6848892,72,242
478168,6878892,61,58
478168,6879892,72,30
479168,6847892,68,219
479168,6850892,67,260
479168,6852892,69,242
479168,6869892,72,262
479168,6877892,50,75
479168,6878892,58,68
480168,6846892,80,229
480168,6847892,80,224
480168,6848892,85,224
480168,6849892,74,227
480168,6867892,75,100
480168,6868892,75,90
480168,6870892,72,77
480168,6872892,75,85
481168,6845892,82,224
481168,6848892,19,335
481168,6866892,90,85
481168,6872892,69,75
481168,6874892,60,82
482168,6847892,71,39
482168,6848892,90,219
482168,6869892,82,102
482168,6874892,77,57
483168,6842892,66,224
483168,6851892,80,289
483168,6865892,70,275
483168,6868892,75,85
484168,6849892,69,80
484168,6850892,75,78
484168,6855892,78,290
484168,6856892,78,290
484168,6857892,72,302
484168,6870892,65,83
485168,6856892,63,301
485168,6860892,85,252
487168,6837892,82,100
488168,6832892,4,294
489168,6827892,78,76
489168,6829892,70,71
489168,6831892,77,85
489168,6833892,84,75
491168,6795892,80,120
491168,6825892,78,35
493168,6765892,43,124
493168,6766892,20,138
493168,6838892,90,290
494168,6796892,68,300
494168,6816892,56,245
494168,6820892,70,238
494168,6838892,61,140
496168,6769892,45,99
496168,6783892,90,110
496168,6786892,85,260
496168,6794892,68,76
496168,6800892,75,70
496168,6802892,75,260
496168,6804892,80,180
496168,6807892,90,250
496168,6812892,78,30
497168,6794892,77,89
497168,6796892,40,87
497168,6800892,80,234
497168,6801892,34,160
