EASTING,NORTHING,DIP,DIP_DIR,count,kappa,beta,REMOVED_INDEX
496168,6769892,41,100,3,1e-06,4.99e-07,156
501168,6803892,66,229,3,2.435504160645423,1.2177520793227117,397
503168,6797892,79,46,5,1e-06,0.0,111
504168,6796892,80,34,4,1e-06,0.0,90
504168,6797892,80,23,3,1e-06,4.99e-07,158
507168,6799892,48,300,3,1e-06,0.0,87
509168,6779892,65,44,5,1e-06,0.0,0
521168,6934892,82,312,4,1e-06,0.0,209
522168,6933892,39,230,6,1e-06,0.0,229
523168,6936892,71,9,3,1e-06,4.99e-07,19
524168,6935892,76,326,3,1e-06,4.99e-07,43
526168,6782892,55,333,3,4.190915826997994,0.0,215
527168,6788892,26,340,6,1e-06,4.99e-07,384
535168,6783892,35,294,3,1e-06,4.99e-07,80
541168,6786892,67,249,3,1e-06,0.0,33
565168,6818892,63,107,6,1e-06,4.99e-07,17
609168,6954892,72,298,3,1e-06,0.0,173
