EASTING,NORTHING,DIP,DIP_DIR,count,kappa,beta,n_removed
496168,6769892,45,99,4,1e-06,4.99e-07,0
501168,6803892,77,227,4,1e-06,0.0,0
503168,6797892,79,46,6,1e-06,0.0,0
504168,6796892,71,30,5,1e-06,0.0,0
504168,6797892,80,28,4,1e-06,4.99e-07,0
507168,6799892,58,300,4,1e-06,0.0,0
509168,6779892,70,49,6,1e-06,0.0,0
521168,6934892,81,312,5,1e-06,0.0,0
522168,6933892,50,239,7,1e-06,4.99e-07,0
523168,6936892,68,12,4,1e-06,4.99e-07,0
524168,6935892,75,326,4,1e-06,4.99e-07,0
526168,6782892,33,305,4,1e-06,4.99e-07,0
527168,6788892,33,333,7,1e-06,4.99e-07,0
535168,6783892,43,261,4,1e-06,4.99e-07,0
541168,6786892,61,263,4,1e-06,0.0,0
565168,6818892,54,129,7,1e-06,4.99e-07,0
609168,6954892,72,298,4,1e-06,0.0,0
