EASTING,NORTHING,DIP,DIP_DIR,count,kappa,beta
363168,6892892,90,312,2,1e-06,0.0
369168,6887892,83,323,1,1e-06,0.0
370168,6887892,90,155,1,1e-06,0.0
373168,6890892,90,320,1,1e-06,0.0
377168,6892892,90,330,1,1e-06,0.0
395168,6900892,70,325,1,1e-06,0.0
431168,6819892,80,40,1,1e-06,4.99e-07
431168,6823892,66,170,1,1e-06,0.0
446168,6826892,80,72,1,1e-06,4.99e-07
446168,6838892,58,261,1,1e-06,4.99e-07
448168,6838892,75,68,1,1e-06,4.99e-07
448168,6842892,90,143,1,1e-06,0.0
448168,6844892,62,245,1,1e-06,4.99e-07
448168,6857892,69,47,1,1e-06,4.99e-07
449168,6852892,75,45,1,1e-06,4.99e-07
449168,6857892,78,212,1,1e-06,0.0
449168,6858892,61,210,1,1e-06,0.0
464168,6868892,52,292,1,1e-06,4.99e-07
467168,6867892,83,108,1,1e-06,4.99e-07
467168,6868892,77,282,1,1e-06,4.99e-07
467168,6872892,68,277,1,1e-06,4.99e-07
468168,6866892,82,322,1,1e-06,0.0
470168,6859892,69,220,1,1e-06,0.0
471168,6857892,60,250,1,1e-06,4.99e-07
471168,6859892,54,242,1,1e-06,4.99e-07
471168,6860892,75,224,1,1e-06,0.0
471168,6870892,79,95,1,1e-06,0.0
471168,6875892,70,92,1,1e-06,0.0
472168,6855892,59,233,2,1e-06,4.99e-07
472168,6856892,46,232,1,1e-06,0.0
472168,6874892,72,260,1,1e-06,4.99e-07
472168,6877892,64,82,1,1e-06,0.0
473168,6853892,62,223,3,1e-06,4.99e-07
473168,6854892,60,230,1,1e-06,0.0
473168,6881892,72,80,1,1e-06,0.0
474168,6853892,54,219,1,1e-06,0.0
474168,6854892,67,210,2,1e-06,4.99e-07
474168,6855892,52,215,1,1e-06,0.0
474168,6872892,70,300,1,1e-06,4.99e-07
475168,6852892,75,215,1,1e-06,0.0
475168,6853892,57,222,2,1e-06,4.99e-07
475168,6854892,67,220,2,1e-06,4.99e-07
475168,6855892,74,210,1,1e-06,0.0
475168,6874892,73,276,2,1e-06,0.0
475168,6878892,90,274,1,1e-06,4.99e-07
475168,6880892,82,100,1,1e-06,0.0
476168,6850892,73,262,3,1e-06,0.0
476168,6853892,74,214,2,1e-06,4.99e-07
476168,6879892,84,142,1,1e-06,4.99e-07
477168,6848892,75,234,1,1e-06,4.99e-07
477168,6849892,60,250,1,1e-06,4.99e-07
477168,6850892,75,250,1,1e-06,4.99e-07
478168,6848892,72,242,2,1e-06,0.0
478168,6878892,61,58,2,1e-06,0.0
478168,6879892,72,30,1,1e-06,4.99e-07
479168,6847892,68,219,1,1e-06,0.0
479168,6850892,67,260,3,1e-06,0.0
479168,6852892,69,242,1,1e-06,4.99e-07
479168,6869892,72,262,1,1e-06,4.99e-07
479168,6877892,50,75,2,1e-06,4.99e-07
479168,6878892,58,68,1,1e-06,0.0
480168,6846892,80,229,1,1e-06,4.99e-07
480168,6847892,80,224,1,1e-06,0.0
480168,6848892,85,224,1,1e-06,0.0
480168,6849892,74,227,2,1e-06,4.99e-07
480168,6867892,75,100,1,1e-06,0.0
480168,6868892,75,90,1,1e-06,0.0
480168,6870892,72,77,2,1e-06,4.99e-07
480168,6872892,75,85,1,1e-06,0.0
481168,6845892,82,224,2,1e-06,4.99e-07
481168,6848892,19,335,2,11.940011603762438,5.39407860235896
481168,6866892,90,85,1,1e-06,4.99e-07
481168,6872892,69,75,1,1e-06,0.0
481168,6874892,60,82,1,1e-06,0.0
482168,6847892,71,39,3,0.4021259502304064,0.2010629741152032
482168,6848892,90,219,1,1e-06,0.0
482168,6869892,82,102,1,1e-06,4.99e-07
482168,6874892,77,57,2,1e-06,0.0
