,SITEID,FEATURE,TYPE,STRUCTYPEI,STRIKE,DIP,DLAT,DLONG,EASTING,NORTHING,ZONE_,DIP_DIR,geometry
30,SFCTHU000374,"Bedding, showing strike and dip",inclined,BEIN,260,40.0,-28.91312,116.96926,497001.0,6801640.0,50,170.0,POINT (497001 6801640)
299,SFCTHU000044,"Bedding, showing strike and dip",inclined,BEIN,210,70.0,-28.92984,117.07611,507416.0,6799785.0,50,120.0,POINT (507416 6799785)
177,TJIYAL140252,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,190,82.0,-28.19598,116.75097,475561.0,6881061.0,50,100.0,POINT (475561 6881061)
204,KPWCUE000488,"Bedding, showing strike and dip",inclined,BEIN,70,70.0,-27.69712,117.24818,524472.0,6936323.0,50,340.0,POINT (524472 6936323)
354,SFCTHU000248,"Bedding, showing strike and dip",inclined,BEIN,330,75.0,-28.89315,117.01055,501028.0,6803850.0,50,240.0,POINT (501028 6803850)
265,TJISIN120297,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,70,70.0,-29.02285,117.25702,525029.0,6789457.0,50,340.0,POINT (525029 6789457)
464,TJISIN100028,"Bedding, showing strike and dip",inclined,BEIN,25,60.0,-29.41889,117.21767,521115.0,6745587.0,50,295.0,POINT (521115 6745587)
551,TJIROT140021,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,140,84.0,-29.31818,117.17844,517325.0,6756747.0,50,50.0,POINT (517325 6756747)
55,TJISIN140100,"Bedding, showing strike and dip",inclined,BEIN,355,72.0,-29.43021,117.14058,513638.0,6744341.0,50,265.0,POINT (513638 6744341)
196,IXZBDJ001248,"Bedding, showing strike and dip",inclined,BEIN,166,68.0,-28.97176,116.95912,496020.0,6795140.0,50,76.0,POINT (496020 6795140)
137,SFCCGM000666,"Bedding, showing strike and dip",vertical,BEVE,320,90.0,-28.49476,116.8137,481764.0,6847977.0,50,230.0,POINT (481764 6847977)
29,TJIROT140013,"Bedding, showing strike and dip",inclined,BEIN,335,80.0,-29.31731,117.1709,516596.0,6756844.0,50,245.0,POINT (516596 6756844)
353,TJIDAL180107,"Bedding, showing strike and dip",inclined,BEIN,251,75.0,-27.74717,117.1448,514269.0,6930799.0,50,161.0,POINT (514269 6930799)
368,TJISIN120031,"Bedding, showing strike and dip",inclined,BEIN,22,67.0,-29.22902,116.92956,493157.0,6766636.0,50,292.0,POINT (493157 6766636)
101,SFCTHU000043,"Bedding, showing strike and dip",inclined,BEIN,40,75.0,-28.92892,117.07635,507444.0,6799886.0,50,310.0,POINT (507444 6799886)
320,SFCCGM000680,"Bedding, showing strike and dip",inclined,BEIN,325,75.0,-28.48813,116.76777,477271.0,6848699.0,50,235.0,POINT (477271 6848699)
502,TJIWIN100064,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,333,62.0,-28.95864,118.22759,619617.0,6795974.0,50,243.0,POINT (619617 6795974)
409,TJIDAL180114,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,95,80.0,-27.71939,117.19207,518932.0,6933864.0,50,5.0,POINT (518932 6933864)
82,SFCWYN000284,"Bedding, showing strike and dip",inclined,BEIN,212,70.0,-27.51613,118.15096,613671.0,6955869.0,50,122.0,POINT (613671 6955869)
235,SFCCGM000740,"Bedding, showing strike and dip",inclined,BEIN,322,55.0,-28.42177,116.71238,471831.0,6856044.0,50,232.0,POINT (471831 6856044)
